tweets,label,preprocess_tweets
"RT @RichardBurgon: Just seen this totalling up of votes cast in England in Council Elections: 
* Lab 38.5%
* Con 27.1%
* Lib Dem 12.8%
* UK…",leave,rt : just seen this totalling up of votes cast in england in council elections : * lab <number> * con <number> * lib dem <number> * uk …
"The message is clear - Brexit vote may spark recession, Mark Carney warns. We're #StrongerIn. #EUref https://t.co/G7Uz0VCg6d",stay,the message is clear - brexit vote may spark recession mark carney warns we're <hashtag> <hashtag> <url>
@BBCNews #Brexit @vote_leave @LeaveEUOfficial @GetBritainOut,stay,<hashtag>
"RT @britinfluence: White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
http…",stay,rt : white house adviser : brexit would hurt britain eu and global economy <hashtag> <hashtag> <hashtag> <hashtag> http …
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,stay,rt : pictures : farage hailed a hero on ‘ brexit the movie ’ red carpet <url> <url>
https://t.co/9F72e6GzwJ VoteLeave @oflynnmep  @Stewart4Pboro https://t.co/GA9lectH4g,stay,<url> voteleave <url>
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave,rt : this is what the unelected eu elites who make decisions that affect your life think of you <hashtag> <url> …
"RT @MirrorPolitics: Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",stay,rt : boris johnson distances himself from brexit campaign attack on itv <url> <url>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
"RT @darryl1974: 8.7% of Britain First's 2nd choices plus 7.1% of BNP's went to Sadiq Khan, but only 6.3% of Ukip votes went his way https:/…",leave,rt : <number> of britain first's <number> nd choices plus <number> of bnp's went to sadiq khan but only <number> of ukip votes went his way https : / …
"Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",stay,boris johnson distances himself from brexit campaign attack on itv <url> <url>
"Brexit could lead to recession, says Bank of England https://t.co/F7o4Udshvv",leave,brexit could lead to recession says bank of england <url>
"RT @LSEnews: Explore our #LSEBrexitVote video series, covering all sides of the debate on #EUReferendum https://t.co/ONFWVlkLDI https://t.c…",leave,rt : explore our <hashtag> video series covering all sides of the debate on <hashtag> <url> <url> …
RT @jenny_at_home: The government's #brexit leaflet has the same design as Cards Against Humanity. https://t.co/LM6EjoD21F,leave,rt : the government's <hashtag> leaflet has the same design as cards against humanity <url>
@UKIP I've watched Nigel at the European Parliament  - he should wipe the floor with Cameron.,stay,i've watched nigel at the european parliament - he should wipe the floor with cameron
"I'm the Bane of your life, Dave! Boris channels menacing Batman villain as he tools up during... - https://t.co/k5XzQSfavU - #Batman",leave,i'm the bane of your life dave boris channels menacing batman villain as he tools up during - <url> - <hashtag>
"EU delay budget proposal until after #Brexit, need to cover migration expenses, inc.
££ help to Turkey &amp; Africa. https://t.co/eXkAyNNSel",stay,eu delay budget proposal until after <hashtag> need to cover migration expenses inc help to turkey amp ; africa <url>
"RT @julia_reid: HoL: Nigel Farage at ""Trade Beyond the EU - BREXIT &amp; the Commonwealth with NZ Deputy PM Winston Peters MP https://t.co/RbQu…",stay,"rt : hol : nigel farage at "" trade beyond the eu - brexit amp ; the commonwealth with nz deputy pm winston peters mp <url> …"
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,stay,rt : media are covering tory and labour pro eu view and tory and ukip anti eu view why not include the labour anti eu view to
RT @vote_leave: .@BorisJohnson getting down to business in Christchurch on the #VoteLeave #BattleBus tour https://t.co/bUkycSJTMM,leave,rt : getting down to business in christchurch on the <hashtag> <hashtag> tour <url>
"If #Brexit goes through, I wonder how it would affect the @premierleague.",stay,if <hashtag> goes through i wonder how it would affect the
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,leave,rt : loved the film last night brought my romanian friend along so he could see why both our countries should <hashtag>
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,leave,rt : read : europol's actions prove the threat of terrorism via the balkan migrant route <url>
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,leave,rt : personally i think it's appropriate that should have a significant role in some <hashtag> special programmes
"White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
https://t.co/puiq6WpK2V",stay,white house adviser : brexit would hurt britain eu and global economy <hashtag> <hashtag> <hashtag> <hashtag> <url>
"RT @RedHotSquirrel: 43 days to enthuse the unenthused, enlighten the misinformed, win over waverers and reclaim our country. #VoteLeave htt…",leave,rt : <number> days to enthuse the unenthused enlighten the misinformed win over waverers and reclaim our country <hashtag> htt …
Some UK employers are unfazed by the potential impact of Brexit on their workforce https://t.co/c7lMitcaeF https://t.co/ujSfvPT6pn,leave,some uk employers are unfazed by the potential impact of brexit on their workforce <url> <url>
It will be faster to come home #VoteLeave &gt;&gt; Business travellers fear Brexit due to delays at passport control https://t.co/yGsefk36hm,leave,it will be faster to come home <hashtag> gt ; gt ; business travellers fear brexit due to delays at passport control <url>
RT @DavidMilwr: Clearly designed to upset  Brexit side and divide the groups Farage should not have accepted just couldn't resist https://t…,leave,rt : clearly designed to upset brexit side and divide the groups farage should not have accepted just couldn't resist <url> …
"Mark Carney &amp; Mystic Meg went to same fortune telling school. Brexit vote may spark recession, Mark Carney warns https://t.co/3PcnOCUfhu",stay,mark carney amp ; mystic meg went to same fortune telling school brexit vote may spark recession mark carney warns <url>
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,stay,rt : my thanks to for his excellent speech at westminster on how <hashtag> will boost commonwealth trade https …
RT @CommunitiesUK: Know a Brit living outside the UK? RT to remind them overseas voters should register by 16 May to vote in the #EUref htt…,stay,rt : know a brit living outside the uk rt to remind them overseas voters should register by <number> may to vote in the <hashtag> htt …
RT @dair_allan: @welshpolitical seems everything is sorted and Labour cut a grubby backroom deal with UKIP. Labour - the #shame of Wales.,stay,rt : seems everything is sorted and labour cut a grubby backroom deal with ukip labour - the <hashtag> of wales
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/EPrkcFs3iS",stay,brexit may spark recession carney warns : the bank of england has given its starkest warning yet that a vote <url>
RT @BrexitTheMovie: You're invited to the BREXIT THE MOVIE Premiere on the 11th May! https://t.co/s6Kaym53FU https://t.co/dPfJk422oF,stay,rt : you're invited to the brexit the movie premiere on the <number> th may <url> <url>
RT @JonathanPlaid: Labour to deal with UKIP -pure hypocrites. Looking forward to seeing their Welsh based MPs vent their disgust,stay,rt : labour to deal with ukip - pure hypocrites looking forward to seeing their welsh based mps vent their disgust
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,stay,rt : loved the film last night brought my romanian friend along so he could see why both our countries should <hashtag>
GBP/EUR Exchange Rate Forecast to Strengthen as BoE Warn of ‘Brexit’ Risks: Bank of England... https://t.co/r2KvIXS44G #fx #forex #money,stay,gbp / eur exchange rate forecast to strengthen as boe warn of ‘ brexit ’ risks : bank of england <url> <hashtag> <hashtag> <hashtag>
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/oTrn1gU6hL",stay,brexit may spark recession carney warns : the bank of england has given its starkest warning yet that a vote <url>
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",stay,rt : re-tweet if you are voting to <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https : / …
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,leave,rt : pictures : farage hailed a hero on ‘ brexit the movie ’ red carpet <url> <url>
".@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM   https://t.co/VYjlOnIQUZ via #prweek… https://t.co/pYykoGu31Q",leave,shows the power of simplifying ideas writes <url> via <hashtag> <url>
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,leave,rt : ukip have been fighting long and hard for brexit now the rest of peterborough is joining us no matter what your https : / / …
"""Neither Holy, nor Roman, nor an Empire"" - so blueprint for the EU? #EUreferendum https://t.co/nJ7f4U4t7u https://t.co/ODoQNZvtdv",stay,""" neither holy nor roman nor an empire "" - so blueprint for the eu <hashtag> <url> <url>"
"Brexit vote may spark recession, Mark Carney warns https://t.co/6berF2q9J4",stay,brexit vote may spark recession mark carney warns <url>
"RT @simplysimontfa: 4 more good reasons to #VoteLeave - Blair, Brown, Cameron and Major: four Prime Ministers who led us into economic disa…",leave,rt : <number> more good reasons to <hashtag> - blair brown cameron and major : four prime ministers who led us into economic disa …
What time Brexit The Movie on YouTube: told 3pm???,stay,what time brexit the movie on youtube : told <number> pm
RT @iainjwatson: Essentially @Nigel_Farage's argument is no one party can win the referendum and there needs to be a broader range of brexi…,stay,rt : essentially ' s argument is no one party can win the referendum and there needs to be a broader range of brexi …
Bank's warning of a Brexit double whammy is very handy for Osborne - https://t.co/4UhrMIMOVZ,stay,bank's warning of a brexit double whammy is very handy for osborne - <url>
Britische Notenbank warnt vor schweren „Brexit“-Folgen: Eine Rezession und steigende Arbe... https://t.co/w1h5mKM2fA via @FAZ_Wirtschaft,leave,britische notenbank warnt vor schweren „ brexit “ - folgen : eine rezession und steigende arbe <url> via
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",stay,rt : this is what the unelected eu elites who make decisions that affect your life think of you <hashtag> <url> …
RT @LBRuT_Help: EU Referendum Key Dates https://t.co/0JZtJorW4G #EUreferendum https://t.co/0iZwx14EY0,leave,rt : eu referendum key dates <url> <hashtag> <url>
2/2 I'm starting to think instead that people in high places stand to lose an awful lot of cash #VoteLeave #Nottheendoftheworld,leave,<number> / <number> i'm starting to think instead that people in high places stand to lose an awful lot of cash <hashtag> <hashtag>
@h_sharma @faisalislam Really? Predicting a small rise in interest rates is comparable to predicting a smash on Brexit?UH-huh.You said it.,stay,really predicting a small rise in interest rates is comparable to predicting a smash on brexituh-huhyou said it
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",stay,rt : shows the power of simplifying ideas writes <url> <url>
RT @UKIP: Read: UKIP Leader @Nigel_Farage's weekly referendum diary every Wednesday in the @Daily_Express https://t.co/hfLgOMvhdk,leave,rt : rea <smile> ukip leader ' s weekly referendum diary every wednesday in the <url>
"@HelenP3617 but yes, that was also my thought - not that would be a deal, but that UKIP flip would tar Labour also - until recent briefings.",stay,but yes that was also my thought - not that would be a deal but that ukip flip would tar labour also - until recent briefings
@SHill150 @ITV @vote_leave I am assuming you mean in the Brexit camp. The problem: Mr Farage's views are associated by some with racism.,stay,i am assuming you mean in the brexit camp the problem : mr farage's views are associated by some with racism
Swiss scientists share Brexit concerns https://t.co/fSQtMKeuLp (Google Alerts),stay,swiss scientists share brexit concerns <url> google alerts
"‘President Trump’ is scarier for markets than a Brexit, says star fund manager https://t.co/QvJsfxBhkp #VoteLeave",leave,‘ president trump ’ is scarier for markets than a brexit says star fund manager <url> <hashtag>
"RT @Stevie_Leary: After all the usual @theSNP hype &amp; rhetoric, it's their voters leading the way for #Brexit in Scotland. #LeaveEU https://…",leave,rt : after all the usual hype amp ; rhetoric it's their voters leading the way for <hashtag> in scotland <hashtag> https : / / …
BREXIT THE MOVIE - NAME THAT EUROCRAT https://t.co/ILxbH0gQ8L via @YouTube,leave,brexit the movie - name that eurocrat <url> via
RT @JeffTijssen: Why #Brexit puts London's technology sector at risk https://t.co/vtMaiDmIxq via @standardnews @RussShaw1 @eileentso @Naomi…,stay,rt : why <hashtag> puts london's technology sector at risk <url> via …
@Far_Right_Watch @erswell_tim I'm not a paid employee of UKIP you utter fool.,stay,i'm not a paid employee of ukip you utter fool
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave,rt : this is what the unelected eu elites who make decisions that affect your life think of you <hashtag> <url> …
"RT @JHSaltGroup: Got unticked boxes on your #BRexit decision list? 
Come to this debate to tick all. 
https://t.co/Q07YGhuGXf 
@jesushouseu…",stay,rt : got unticked boxes on your <hashtag> decision list come to this debate to tick all <url> …
RT @subtel1: Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co…,leave,rt : stop any further destruction of our manufacturing industries now <hashtag> <hashtag> <hashtag> sack vatman amp ; knobend <url> …
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave,rt : there wouldn't of been a referendum if not for <hashtag> <hashtag> determination both have same goal <hashtag> <hashtag> https : / / …
"RT @PeoplesNHS: IDS, member of posh Buck’s Club, says EU favours Haves over Have-nots But quiet on saving #NHS from #TTIP #EURef https://t.…",leave,rt : ids member of posh buck ’ s club says eu favours haves over have-nots but quiet on saving <hashtag> from <hashtag> <hashtag> <url> …
@Construction_IC Barratt Development warning Brexit Camp,stay,barratt development warning brexit camp
RT @MitchellGoldie: My article for @vote_leave in my local newspaper #VoteLeave https://t.co/YV7tnU7nT2,leave,rt : my article for in my local newspaper <hashtag> <url>
What's the most important thing for you to know the #InsAndOuts of in the #EUReferendum?,leave,what's the most important thing for you to know the <hashtag> of in the <hashtag>
Green Party Agriculture Spokesperson from the South West on yesterday's EU migration report #EUreferendum #GreenerIN https://t.co/Gc23ilZbfV,leave,green party agriculture spokesperson from the south west on yesterday's eu migration report <hashtag> <hashtag> <url>
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
@HelenP3617 except they've no need to: &amp; as soon as that balloon went up UKIP AMs brought it down by saying no talks. Same spin won't stick.,stay,except they've no need to : amp ; as soon as that balloon went up ukip ams brought it down by saying no talks same spin won't stick
I'll be toasting with Scotch not Champagne on 24/6 to keep £ in UK #VoteLeave &gt; Brexit 'risks Scotch whisky exports' https://t.co/7FcecZyKeQ,leave,i'll be toasting with scotch not champagne on <number> / <number> to keep in uk <hashtag> gt ; brexit ' risks scotch whisky exports ' <url>
RT @James_Sloam: @RoyalHolloway #VoteBecause campaign to boost student turnout in #EUref -post your reasons for voting! @nusuk https://t.co…,stay,rt : <hashtag> campaign to boost student turnout in <hashtag> - post your reasons for voting <url> …
RT @FullFact: Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,stay,rt : explaining the eu deal : is it legally binding <url> <hashtag> <hashtag> <url>
"RT @PolisLSE: ""One of the key jobs as a factchecker is thinking about what’s being said, and also what isn’t being said.""@asippi on the #EU…",stay,"rt : "" one of the key jobs as a factchecker is thinking about what ’ s being said and also what isn ’ t being said "" on the <hashtag>"
"RT @dailyexpressuk: [DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https:…",stay,rt : [ daily express ]: another reason to quit eu : brexit would ' create <number> extra jobs ' : new figures have reveal https : …
Don't forget to register if you want to vote in the #EURef https://t.co/dwoxTULjJI https://t.co/zDqgyJ3Nnm,stay,don't forget to register if you want to vote in the <hashtag> <url> <url>
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,leave,rt : pictures : farage hailed a hero on ‘ brexit the movie ’ red carpet <url> <url>
Get up to 250% bonus on new forex accounts - https://t.co/izcg4rUiGf Germany's Schaeuble says on Brexit Access ... https://t.co/o5BylIEZLT,stay,get up to <number> bonus on new forex accounts - <url> germany's schaeuble says on brexit access <url>
@oop100 @iVoteLeave I steer clear of people who warn of 'serious consequences'. They can't trust the Father of Brexit to make their case?!,leave,i steer clear of people who warn of ' serious consequences ' they can't trust the father of brexit to make their case
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,stay,rt : the <hashtag> twittersphere : new blog maps networks beneath the campaign battleground <url> https : / / …
