tweets,label
"RT @4941ac: Profile: Neil Hamilton, UKIP’s genial but shamelessly selfish new leader in Cardiff Bay  
https://t.co/mWkKLZhMDI",leave
RT @Steven_Woolfe: Who can trust a man who signed the Lisbon Treaty with out the consent of British people? Gordon brown is irrelevant in t…,stay
RT @Daily_Express: Brexit the Movie reveals how smug Eurocrats have DESTROYED democracy in Britain: https://t.co/a3jrV6eZrn https://t.co/9b…,stay
Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,leave
UK house prices: Housing market has 'fully recovered from the crash' but Brexit concerns loom https://t.co/yUux8OZCyr,leave
"GQ's June issue is now out, featuring features on Leonardo DiCaprio, BREXIT and The Manic Street Preachers. ""In our… https://t.co/s5sNZUavni",leave
RT @swainjo: the polarised #brexit debate on Twitter visualised. Interesting to see certain media positions. https://t.co/SaA1OLV3vJ,stay
"RT @David_S_Moon: Plaid, to me, have played their card. I don't see they've another. If Labour offers them nowt &amp; they block again its more…",stay
Which airport? Consider this:   Brexit occurs. Cameron resigns. Boris becomes PM. He will have no other choice other than Boris Island.,leave
RT @MarkJLittlewood: This is going to be awesome....https://t.co/K5Vbn22VD2 @BrexitTheMovie,stay
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,stay
"RT @David_S_Moon: The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest…",stay
RT @s8mb: Nicholas Crafts's review of the economic impacts of Brexit – EEA Option might BOOST GDP:  https://t.co/5tsxxszVWl https://t.co/f5…,leave
Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co/5NQHO33f2Y,leave
Today's horrific terrorist attacks in turkey as @sputnikint website is blocked @thetimes: russia behind brexit tell us.,stay
"RT @julia_reid: HoL: Nigel Farage at ""Trade Beyond the EU - BREXIT &amp; the Commonwealth with NZ Deputy PM Winston Peters MP https://t.co/RbQu…",leave
@JonathanArnott @NTynesideLab  &amp; there's no way of controlling this in EU due to free movement of people. We must #Brexit &amp; take control.,stay
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,leave
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,leave
"RT @BearGardenMan: #Italy Minister: #Brexit could ""act as a detonator"" that splits EU apart over #Migration &amp; weak economic growth https://…",stay
RT @LudovicaIaccino: Exclusive: #Brexit referendum is an example of self-determination right #Biafrans are also entitled to https://t.co/4P…,stay
Carney: Brexit could lead to technical UK recession https://t.co/0wsbT9C1CT,stay
RT @Trev_Forrester: See this recent #CBI speech Cameron in favour of LEAVE #Brexit https://t.co/UA162j5MAG https://t.co/saYWphvW0F,stay
"RT @The_TUC: How #EU protects you from discrimination, explained in the time it takes to go Holborn's escalator. #EUReferendum
https://t.co…",stay
https://t.co/NoBE3ewpt3 #StrongerIn,stay
RT @Daily_Express: Boris Johnson slams David Cameron for FAILING to slash immigration in searing attack on PM https://t.co/yc399iLIEc https…,leave
RT @TheCanarySays: The final countdown https://t.co/XmwQJdc9oU,leave
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,stay
"@UKIP One suspects more voters will watch the ITV debateless version, than any of the others, as they want to see Nigel Farage at his best.",stay
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave
See Duncan Enright's wonderful analysis on the EU Referendum. It is as a comment to my blog https://t.co/pA3GGNzyhU #Remain #Brexit,stay
"RT @BenDilks: I spoke to @UKLabour's charming @LadyBasildon about the Lords, the Ukip threat and making her party more electable: https://t…",stay
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,stay
Remaining in the EU gives Britain more control over forces that affect its citizens - @RobinNiblett: https://t.co/Bhjej5lAyF  #EUref,stay
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",stay
I am planning the Reggae4Brexit Party @ #LondonWestBank art gallery in Notting Hill on 17-06-16. Be There. #LeaveEU https://t.co/eMxiLN4G8z,leave
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,leave
RT @JamieOwenBBC: Neil Hamilton is elected leader of #UKIP in the Assembly - but his appointment has provoked a furious row #Wales @bbcwale…,leave
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
